user,created_at,text
wingdongi,10/22/2017 14:22,b'@washingtoen Kaya lu'
nujateng,10/22/2017 14:21,b'Gebyar Budaya Hari Santri Nasional 2017 di Kabupaten Jepara @nahdlatululama @WartaNU @kabarpesantren @unisnujepara\xe2\x80\xa6 https://t.co/HnSwjjjtXR'
desupriyadi_,10/22/2017 14:21,"b'@detikcom Jujur, bergantung pada paketan data internet\xf0\x9f\x98\xad'"
sq_stony,10/22/2017 14:21,b'@IHateJDollarz What'
fahmimuttaqiin,10/22/2017 14:21,b'@Alvvin29 @IndosatCare Hahahahaha.. Bener banget'
ciwullan,10/22/2017 14:21,b'Mas Agus bikin lagu \xf0\x9f\x98\x94'
FlorentinaNvts,10/22/2017 14:21,b'Punya temen yang nggak suka liat temennya sukses ya? @nugrahenita @akuuchelseaa'
kemalfadhil,10/22/2017 14:21,b'@AldyFLahengko Udah tua blay'
12_pawina,10/22/2017 14:21,b'RT @Pjt_semarang: https://t.co/qFDaV2WPXe'
8TIOB4Vnm0ZVhIj,10/22/2017 14:21,b'RT @dns_dini: #HappyBirthday\xe9\x9e\xa0\xe5\xa9\xa7\xe7\xa5\x8e0618 #kiku semoga bisa nomer 1 di ssk tahun ini amin \nwish you all the best https://t.co/dslKXQeueE'
ABe_Sant,10/22/2017 14:21,b'sat ap beibe ... https://t.co/0MjNBxxwgS'
rosal_stone,10/22/2017 14:21,b'Kamera hp @xslfnx pernah bagus. https://t.co/WpCL8xAExy'
Riz_Evans,10/22/2017 14:21,b'Loh teke ceh piye to  yaampun\n:(('
melizapuspita,10/22/2017 14:21,"b'Tak taula, aku senang lah cakap Malay ni.'"
AliRifqi09,10/22/2017 14:21,b'Sesiapa yang mempunyai kebolehan akan berjumpa landasan yang tepat.'
nuno_orange,10/22/2017 14:21,b'Me toooo \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a https://t.co/ypNrcjzqER'
riannyo,10/22/2017 14:21,b'Davies gak main. so greaaaattttt for you all manager'
iyancaselaa,10/22/2017 14:21,b'RT @MamahPitri69: Tante lagi \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\n=&gt; https://t.co/cCf8ATsVDB https://t.co/Ckeq9BoD3j'
ely_susianti,10/22/2017 14:21,b'RT @ely_susianti: Presiden @jokowi dalam kunjungan ke Mandalika NTB.. pesona alam Indonesia yg sangat cantik.. https://t.co/oAasigVgj9'
9JHLAcHHjCXJKt9,10/22/2017 14:20,b'RT @Pjt_semarang: https://t.co/61Kcw5RY5Q'
9JHLAcHHjCXJKt9,10/22/2017 14:20,b'RT @Pjt_semarang: https://t.co/sqskdnzDQw'
bambang_isman,10/22/2017 14:20,b'THANKS KOMPAS TV !!! https://t.co/yxTENxB5Zo'
carecaa507,10/22/2017 14:20,"b'Nunggu Marcus Gideon dan Kevin Sanjaya, sampe lupa kalo besok Senin!! Gak peduli, nonton badminton dulh di @KompasTV #DenmarkOpenKompasTv \xf0\x9f\x98\x8e'"
bernaditaa,10/22/2017 14:20,b'@betarriza aha! well said dear.'
9JHLAcHHjCXJKt9,10/22/2017 14:20,b'RT @Pjt_semarang: https://t.co/uTepjO7yo6'
Ian_No_Tobi,10/22/2017 14:20,b'Earned 1 PSN trophy (1 bronze) in Digimon Story: Cyber Sleuth - https://t.co/phe1WDsI7x'
illaknisa_,10/22/2017 14:20,b'Terus pak hasan ngakak baru ngasih plester \xf0\x9f\x98\x8f'
ancarsantoso,10/22/2017 14:20,"b'""abis ini gue dipecat nih"" https://t.co/e251jKN4nj'"
AmaLaAysar,10/22/2017 14:20,"b'All Indonesian participant in ichallenge 2017 with Mr. Glenn at all in @servier  Paris, France \n#latepost https://t.co/Nm8PiWkaF5'"
anandaAcong,10/22/2017 14:20,b'@NikitaMirzani disaat ada cobaan pasti ada jalan serahkan semua pada Tuhan dg pengharapan.lapang dada dan jdlah semakin baik.'
9JHLAcHHjCXJKt9,10/22/2017 14:20,b'RT @Pjt_semarang: https://t.co/NU8R4FLMpu'
Threeo_P_S,10/22/2017 14:20,"b'#AlphaDXPLOR.net Waktu kamu lahir, kamu menangis dan orang-oran https://t.co/CI7xFLJEML #WIB_LABIL'"
CowokBitung,10/22/2017 14:20,b'RT @ianarif3: Nice RT @ociosoccs: https://t.co/trtGxAVXJr'
otistadhana,10/22/2017 14:20,"b'Dr dlu penasaran kenapa ga skalian pabriknya yg dittup kalo ujung""nya d razia ? https://t.co/vn75ExNaqv'"
brstg,10/22/2017 14:20,b'@aldhiragd Gaweane kudu nggunakne excel. Nek ngajari sik yo iso tutup pabrike'
Zahidpaningrome,10/22/2017 14:20,b'Lebih ke Ngenest dari pada CTS. Serius.'
