bowotimumun,"Tolong relawan sama wartawan jangan hanya menyoroti di pesisir pantai talise dan taman ria saja atau kota saja. Lumpur seperti lahar dingin keluar dari tanah di Jl.Dewi sartika palu selatan,Petobo,Biromaru,Jono oge ,dan sidera terendam lumpur setinggi 3m
#prayforpaludonggala"
benezmeritas,"#palu #sulawesitengah

Jembatan McD aka Jembatan Kuning icon Kota Palu @ Anjungan PanTai Talise Palu https://t.co/AZwONef18m"
didingmandala,"People of internet i need your help to find my mother
Nama Siti Salma, umur 48 tahun terakhir berada di pantai talise saat kejadian mohon kalo ketemu hub 08756906269

#PrayforSulteng 
#PrayForDonggala 
#PrayForPalu 
#palu #paludonggala https://t.co/MW08PwfjUu"
agusexplorehill,"#prayforpaludonggalamamuju 
??????
Al-Fatihah

#staystrong 
#staystrong @ Mesjid Apung Pantai Talise Palu https://t.co/uqvNCLvJjS"
LianGogali,"Alhamdulilah, syukur pada Tuham Neni @nemubuku , anggota tim ekspedisi #sesarpalukoro , selamat. Saat ini bersama yg lain sdg bantu evakuasi korban di sepanjang pantai Talise Palu #PrayForDonggala #gempa #tsunami"
RiniWalenta,"@sdhevi96 @xtralonely Jalan Sam Ratulangi sepertinya tdk sampai kena dampak tsunami. Hanya dibandingkan dgn jln tombolotutu, lokasinya lebih dekat dgn pantai talise. Semoga keluarganya baik2 saja mba..."
mr_QaLBi,"Jembatan Ponulele, ikon kota yang membentang di atas Teluk Palu di Pantai Talise. Di bawahnya, di muara Sungai Palu, pada hari-hari tertentu orang-orang bisa melihat kemunculan buaya-buaya. 

Jembatan itu... https://t.co/fO0qEnvylj"
aanburhany,Cepat Pulih #Palu #Donggala #PrayForPalu #PrayForDonggala #throwback2010 @ Di tepian Pantai Talise https://t.co/96WRRW4k1S
Mail_khar,"#PrayForDonggala
#PrayForPalu
Gempa masih terus terjadi smpai sekarang.
Informasi korban jiwa trdapat di pembukaan festifal palu nomoni yg bertept di anjungan pantai talise palu.
Kebakaran yg terjadi sudah mulai mereda.

Warga ujuna palu barat"
DwiputraAFandhi,"VIDEO saat air laut naik di Pantai Talise, depan Grand Mall Palu, Sulawesi Tengah, Jumat petang, 28 September 2018, Jam 18.02 WITA. @ Kota Palu Provinsi Sulawesi Tengah https://t.co/mFubjYXGxs"
yusuflauma,Pantai Talise https://t.co/Vb0dBHSq2j
