"fathurfaa_	""He salamke penghuni bawah lawang sewu"," aku kangen mlebu rono ?? https://t.co/WLO5JQwvlR""",,,,,
"NurulAinah	Akhirnya kesampaian juga kesini?????? @ Lawang Sewu https://t.co/voBGc5uiOF",,,,,,
"arifMeteor	""tuku tahu neng lawang sewu"," opo mergo tumpakanku koe ninggalke aku ??""",,,,,
"putput_na	Cukup lawang sewu aja yg pintunya banyak..ke hatiku cukup satu pintu aja kamu nyerah??? https://t.co/TqRRK6JOdJ",,,,,,
"melatikusdew	""@asrulbonek Ya kalo Semarang sih yg pasti Lawang Sewu", Sam Poo Kong, Kampung Pelangi mas yg di pusat kota. Tp nek meh jauhan dikit mending ke Bandungan aja deh, ada Umbul Sidomukti, Pondok Kopi, Candi Gedong Songo," Taman Bunga Celosia mas hehe ??"""
"heri_laregrage	""IDENTITAS",,,,,,
,,,,,,
Menjadi identitas perlu waktu dan pembuktian. Dan Eksistensi menjadi salah satu hal yang akan melekatkan identitas itu sendiri.,,,,,,
,,,,,,
"Seperti halnya lawang sewu yang seakan sudah… https://t.co/4uVqtHnlue""",,,,,,
"arka_arkaaa	""Jadi"," gue ketilang nih kan di Semarang bawah di jalan sekitaran Pemuda sama lawang sewu. Itu tuh gara-gara gue nembus lampu merah.""",,,,,
"123stuindra_P	""Delapan tahun lalu... Giat pesiar siswa @123stuindra_P ke Lawang Sewu", Semarang, Jateng.,,,,
.,,,,,,
*Silahkan cari tau sikon badan masing-masing saat ini. ??,,,,,,
.,,,,,,
"#polri #polisiindonesia #ppss2010… https://t.co/utjsdYQ4MP""",,,,,,
"rinaambarwati27	""Semua pintu mempunyai 1 kunci untuk membuka dan menutupnya... kecuali pintu hati"," dia punya 2 kunci: Pertama cinta untuk membuka dan kedua sakit hati untuk menutup . @ Lawang Sewu Semarang https://t.co/vVaOF5ZYpc""",,,,,
"rinaambarwati27	Hidup ini dapat menjadi petualangan yang menantang atau tidak berarti sama sekali. @ Lawang Sewu Semarang https://t.co/KRqoAxemKL",,,,,,
"Yulia_W17	pap pemandangan sekitar dong... lg bosen pengen liat suasana yg beda — Senja di lawang sewu semarang https://t.co/YLqn0NAtTi",,,,,,
"indriacf	""Ternyata asik naik BRT pas lg gak rame bgt", dan jalan gak macet2 bgt, lewat kota tua, lawang sewu malah jadi city tour di smg kan wkkwk,,,
Alhamdulillah sampe sukun dapet bis yg terakhir, terakhir bgt nih gais," rame bgtt dan beli tiketnya tu on the spot di depan pintu bisnya""",,,,
"pitaloka883	Dengerin Terus Pitaloka via https://t.co/1Za7yE8Nws NuDiputer : https://t.co/iw3ONAzkiU - Reza Lawang Sewu - Haruskah Berakhir - Dangdut Koplo [Karaoke]",,,,,,
"rischyramadhani	Buka jendela View nya langsung lawang sewu ??",,,,,,
"Candywulan	""Hiduplah seperti mengambil gambar", ambil yang baik, hapus yang buruk eaaaa~,,,,
,,,,,,
"#lawangsewu #semarang @ Lawang Sewu https://t.co/Zm4FqdnufE""",,,,,,
"arkangalang_	""Mending ngitungin pintu lawang sewu"," beneran seribu ga jumlahnya https://t.co/dfezeOQ6kg""",,,,,
"LawangSewuSMG	""Di lantai tiga #lawangsewu"," ada ruangan besar berjendela yg dulu djadikan tmpt olahraga bgi pegawai NIS. Aula ini dilengkapi dengan toilet.""",,,,,
"LawangSewuSMG	Di lantai dua trdpt aula bsar yg dlu dgnakan sbg ruang pesta. Di sudut aula trpasang wastafel yg sudah ada sjak prtma kali #lawangsewu dbgn.",,,,,,
"LawangSewuSMG	Kaca jendela di lantai dua #lawangsewu dibuat terbalik untuk menghindari air hujan agar tidak masuk.",,,,,,
"LawangSewuSMG	""Selain berfungsi sebagai penjara"," uap dari ruang bawah tanah #lawangsewu juga berguna untuk pendingin ruang di atasnya.""",,,,,
"LawangSewuSMG	Ornamen kaca patri #lawangsewu adalah kaca patri termewah pada zaman dulu yang didisain khusus dengan filosofi kejayaan Kereta Api.",,,,,,
"LawangSewuSMG	""Selain dijadikan setting untuk film ayat-ayat cinta"," #lawangsewu pernah juga dibuatkan film khusus brjdul #lawangsewu - dendam kuntilanak.""",,,,,
