,0,1,2,3,4,5,6,7,8,9,10
abis,0.0,0.0,0.005229083665338645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026467757459095287,0.0
acara,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aces,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
ada,0.0,0.0,0.0027390438247011954,0.0,0.0,0.011096605744125325,0.02060359837492745,0.0,0.0,0.0,0.0
adakan,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
adalah,0.0,0.0,0.0,0.0,0.0,0.0045691906005221935,0.008995937318630296,0.008766968325791855,0.0,0.0,0.0
agunan,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
agung,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0021973631642029567,0.0,0.0
ah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
air,0.0,0.0,0.0,0.0,0.0,0.0,0.008995937318630296,0.0,0.0,0.0,0.0
airway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
aja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012002341920374705
akses,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
aku,0.00874224478285392,0.0,0.0,0.0,0.0,0.002393385552654482,0.003192106790481718,0.008766968325791855,0.0,0.0,0.0
ala,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alerts,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhamdulilah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
alun-alun,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
am,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026467757459095287,0.0
aman,0.0,0.0,0.005229083665338645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambarau,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
ambil,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00505293551491819,0.0
ambu-ambu,0.0,0.0032295948326482677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0032295948326482677,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.00505293551491819,0.0
amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
anak,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.006094022054556007,0.0,0.0,0.0,0.0
andika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009865255052935513,0.0
android,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aneh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
angkatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
anuitet,0.0,0.0,0.0,0.0,0.0,0.006744995648389904,0.0,0.0,0.0,0.0,0.0
api,0.0,0.0,0.0,0.0,0.0,0.017624020887728457,0.0,0.0,0.0,0.0,0.0032201405152224825
aplikasi,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arab,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
arah,0.0,0.0091015854374633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005938914027149321,0.0,0.009865255052935513,0.0
armada,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arsitektur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021973631642029567,0.0,0.0
art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0032201405152224825
artikel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
arus,0.0,0.026717557251908393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
asian,0.0,0.0,0.005229083665338645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
asli,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.0,0.0,0.0,0.0,0.0
aula,0.0,0.0,0.0,0.0,0.0,0.0,0.008995937318630296,0.0,0.0,0.0,0.0
avalokitesvara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012185377546943666,0.0,0.0
awalnya,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
ayak-ayak,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
ayam,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
babat,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baca,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
bacek,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bacem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
badan,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.00505293551491819,0.0
bagus,0.0,0.0,0.005229083665338645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bahas,0.0,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0032201405152224825
bahtera,0.0,0.0,0.0,0.0,0.0,0.0,0.006094022054556007,0.0,0.0,0.0,0.0
baik,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00505293551491819,0.006147540983606557
baiturrahman,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bakalan,0.003102086858432036,0.0,0.0,0.0,0.0,0.002393385552654482,0.0,0.0,0.0,0.0,0.0
bakar,0.0,0.0032295948326482677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balaikota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021973631642029567,0.0,0.0
balapan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026467757459095287,0.0
bali,0.003102086858432036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031108597285067876,0.0,0.0,0.0
ballroom,0.0,0.0,0.0,0.0,0.0,0.0,0.003192106790481718,0.0,0.0,0.0,0.0
balung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021973631642029567,0.0,0.0
bandara,0.0,0.0091015854374633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandusa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004194966040751098,0.0,0.0
bangun,0.0,0.0,0.0027390438247011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangunan,0.0,0.0032295948326482677,0.0,0.0,0.0,0.0,0.003192106790481718,0.017251131221719455,0.0,0.0,0.0
bantu,0.005922165820642978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banyak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008766968325791855,0.0,0.0,0.0
bapak,0.0,0.0,0.0,0.0,0.00546021840873635,0.0,0.0,0.0,0.0,0.0,0.0
barangkali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201405152224825
baru,0.0,0.0,0.0,0.0,0.00546021840873635,0.0,0.008995937318630296,0.0,0.0,0.0,0.0
basement,0.0,0.0,0.0,0.0,0.0,0.0,0.008995937318630296,0.0,0.0,0.0,0.0
batal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021973631642029567,0.0,0.0
batik,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bawah,0.0,0.012037580739870815,0.0,0.0,0.0,0.0,0.02060359837492745,0.0,0.0,0.0,0.0
bebas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01618058330003995,0.0,0.0
became,0.0,0.0,0.0,0.003357753357753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bedama,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.0,0.0,0.0,0.0,0.0
being,0.0,0.0,0.0,0.0,0.0028601144045761833,0.0,0.0,0.0,0.0,0.0,0.0
